startup_name,industry,city,state,funding_amount_usd,funding_round,investors,date
RiskAnalysis Platform,Consumer Services,Ahmedabad,Gujarat,10000000.0,Pre-Series A,"Blume Ventures, Insight Partners, Tencent",2020-07-14
MarketingAI,Edtech,Nagpur,Maharashtra,10000000.0,Debt Financing,Accel Partners,2017-07-15
NanoTech India,Agritech,Bangalore,Karnataka,57435317461838.37,Angel,DST Global,2016-11-19
SecureComm,Agritech,Mumbai,Maharashtra,10000000.0,Bridge Round,Y Combinator,2017-12-28
CRM Platform,Agritech,Lucknow,Uttar Pradesh,10000000.0,Series C,"DST Global, Tiger Global",2016-07-04
FashionForward,AI/ML,Delhi,Delhi,21765673485907.53,Seed,"Sequoia Capital, Elevation Capital",2022-10-10
FinanceApp,Biotechnology,Jaipur,Rajasthan,10000000.0,Series B,"Accel Partners, Sequoia Capital, Kalaari Capital",2024-05-03
EduLearn,Foodtech,Indore,Madhya Pradesh,6307463766599.815,Debt Financing,"Y Combinator, Amazon",2024-09-08
RideShare India,AI/ML,Visakhapatnam,Andhra Pradesh,10000000.0,Pre-Series A,DST Global,2024-12-27
LabTest Now,Real Estate,Bhopal,Madhya Pradesh,10000000.0,Series E,Chiratae Ventures,2020-01-13
EVCharging Network,Cloud Services,Delhi,Delhi,10000000.0,Debt Financing,"Steadview Capital, 500 Startups, SAIF Partners",2015-05-02
ShopEasy,IoT,Lucknow,Uttar Pradesh,10000000.0,Series E,Elevation Capital,2023-11-26
AudioTech,Consumer Services,Nagpur,Maharashtra,3379560980355.772,Angel,"Chiratae Ventures, Y Combinator",2020-07-11
VR Gaming,Cybersecurity,Kochi,Kerala,10000000.0,Series C,"Steadview Capital, Falcon Edge, Matrix Partners",2022-08-16
BeautyBox,Biotechnology,Chennai,Tamil Nadu,10000000.0,Pre-Series A,"Alibaba, SAIF Partners",2017-07-13
DataBackup Solutions,SaaS,Delhi,Delhi,10000000.0,Angel,"Sequoia Capital, Nexus Venture Partners, DST Global",2019-10-22
VirtualAssistant India,SaaS,Jaipur,Rajasthan,10000000.0,Angel,Insight Partners,2023-06-27
AI Research Lab,Fintech,Chandigarh,Chandigarh,10000000.0,Series B,"Tiger Global, Elevation Capital",2021-07-09
IdentityVerification,Cybersecurity,Kochi,Kerala,10000000.0,Series B,Blume Ventures,2020-06-11
LegalTech,Healthtech,,Tamil Nadu,10000000.0,Pre-Series A,Nexus Venture Partners,2016-01-11
OrganicFarms,Blockchain,Bhopal,Madhya Pradesh,10000000.0,Debt Financing,Tencent,2020-02-13
RecruitmentAI,Real Estate,Visakhapatnam,Andhra Pradesh,215713370293445.75,Series D,"Elevation Capital, Tiger Global, Naspers",2015-02-03
BatteryTech,Healthtech,Jaipur,Rajasthan,10000000.0,Seed,"Tencent, Amazon",2019-11-10
LabTest Now,Healthtech,Noida,Uttar Pradesh,10000000.0,Private Equity,,2022-05-07
FinanceApp,Fintech,Bhopal,Madhya Pradesh,10000000.0,Growth Stage,General Catalyst,2020-12-14
DoctorConnect,Media & Entertainment,Jaipur,Rajasthan,10000000.0,Series E,"Nexus Venture Partners, Falcon Edge",2018-08-14
AI Analytics,Consumer Services,Chandigarh,Chandigarh,10000000.0,Series E,"Nexus Venture Partners, SoftBank Vision Fund, General Catalyst",2022-05-14
SecureComm,Fashion & Lifestyle,Visakhapatnam,Andhra Pradesh,15344325013.580896,Pre-Series A,"Kalaari Capital, Y Combinator",2023-05-27
TranslationAI,Enterprise Software,Ahmedabad,Gujarat,10000000.0,Bridge Round,Blume Ventures,2015-07-06
ComplianceTech,Healthtech,Mumbai,Maharashtra,10000000.0,Series E,"Kalaari Capital, Alibaba, Amazon",2023-01-02
AI Analytics,Marketing Tech,Indore,Madhya Pradesh,15692821104716.744,Series C,"Chiratae Ventures, Tiger Global, Falcon Edge",2019-01-28
SecureComm,HR Tech,Ahmedabad,Gujarat,10000000.0,Bridge Round,"Alibaba, Accel Partners, AngelList India",2016-10-03
HealthCare Plus,Analytics,Pune,Maharashtra,10000000.0,Series D,"Techstars, SAIF Partners, Naspers",2024-08-15
BiometricAuth,AI/ML,Delhi,Delhi,101752368186052.19,Pre-Series A,"Tencent, Naspers, Blume Ventures",2024-12-18
PayTech Solutions,Cybersecurity,Hyderabad,Telangana,10000000.0,Bridge Round,"Insight Partners, Alpha Wave Incubation",2023-03-01
BlockchainHub,Renewable Energy,Visakhapatnam,Andhra Pradesh,10000000.0,Angel,"Alibaba, SoftBank Vision Fund, SAIF Partners",2015-03-06
CryptoTrade India,Edtech,Ahmedabad,Gujarat,10000000.0,Series D,"Kalaari Capital, General Catalyst, Falcon Edge",2023-03-24
Insurance Plus,Logistics,Indore,Madhya Pradesh,10000000.0,Series D,Elevation Capital,2015-08-29
ML Platform,Real Estate,Kochi,Kerala,354784961635.0243,Growth Stage,"Chiratae Ventures, AngelList India, Google Ventures",2021-02-21
AdTech Solutions,Agritech,Delhi,Delhi,10000000.0,Growth Stage,Elevation Capital,2018-07-01
MediaHub,Agritech,Chennai,Tamil Nadu,2283667108742.337,Debt Financing,Sequoia Capital,2023-10-31
SalesForce India,Agritech,Coimbatore,Tamil Nadu,10000000.0,Series E,"Accel Partners, Google Ventures, DST Global",2020-01-27
MediaHub,Cloud Services,Indore,Madhya Pradesh,10000000.0,Series D,"Google Ventures, Sequoia Capital, Techstars",2017-12-14
BookMyService,Renewable Energy,Hyderabad,Telangana,5652185495134.347,Private Equity,"Tencent, Kalaari Capital, Lightspeed Venture Partners",2015-08-31
FoodDelivery Express,IoT,Indore,Madhya Pradesh,826595471632.0215,Pre-Series A,Techstars,2020-12-04
EduLearn,Marketing Tech,Kolkata,West Bengal,10000000.0,Seed,Tencent,2018-10-20
LabTest Now,Real Estate,Delhi,Delhi,10000000.0,Debt Financing,"SAIF Partners, Techstars",2022-05-26
DroneDelivery,Cloud Services,Indore,Madhya Pradesh,10000000.0,Angel,"Falcon Edge, Insight Partners, Alibaba",2018-03-27
ComputerVision Co,Gaming,Delhi,Delhi,10000000.0,Seed,"Blume Ventures, Naspers, Falcon Edge",2018-04-17
ComplianceTech,Enterprise Software,Surat,Gujarat,10000000.0,Pre-Series A,"Blume Ventures, Alpha Wave Incubation",2024-11-27
EVCharging Network,Renewable Energy,Kochi,Kerala,458731201423.0413,Private Equity,"Steadview Capital, Techstars, AngelList India",2021-01-21
FitTrack,Enterprise Software,Lucknow,Uttar Pradesh,735708580171.1437,Pre-Series A,"Tencent, Falcon Edge",2015-12-28
NanoTech India,Analytics,Chennai,Tamil Nadu,10000000.0,Seed,Google Ventures,2021-01-29
InvestSmart,Real Estate,Nagpur,Maharashtra,4786279739547.8545,Bridge Round,Steadview Capital,2021-12-08
CRM Platform,Automotive,Chandigarh,Chandigarh,696525377457.9664,Bridge Round,"Blume Ventures, Lightspeed Venture Partners",2020-02-16
DoctorConnect,E-commerce,Chandigarh,Chandigarh,10000000.0,Bridge Round,"Falcon Edge, Alpha Wave Incubation, Elevation Capital",2015-10-08
Antivirus Plus,Fashion & Lifestyle,Chandigarh,Chandigarh,10000000.0,Bridge Round,SoftBank Vision Fund,2022-06-01
TrainingHub,Consumer Services,Jaipur,Rajasthan,10000000.0,Series E,"Amazon, DST Global, 500 Startups",2017-02-03
Firewall Tech,Foodtech,Surat,Gujarat,10000000.0,Series A,"Steadview Capital, Amazon, Google Ventures",2024-03-24
TranslationAI,Hardware,Chennai,Tamil Nadu,10000000.0,Series B,"SoftBank Vision Fund, Elevation Capital",2017-11-05
ARGlasses,Foodtech,Jaipur,Rajasthan,10645445036891.664,Series E,"Falcon Edge, Steadview Capital",2024-06-19
WasteManagement Co,Real Estate,Surat,Gujarat,10000000.0,Bridge Round,"Alpha Wave Incubation, Techstars, 500 Startups",2015-05-27
SalesForce India,Hardware,Gurgaon,Haryana,10000000.0,Series D,"500 Startups, Steadview Capital",2022-12-02
ElectroMart,Healthtech,Jaipur,Rajasthan,10000000.0,Private Equity,"SAIF Partners, Sequoia Capital",2015-05-16
CleanEnergy Co,Fintech,Pune,Maharashtra,17974388011831.64,Series C,Accel Partners,2024-11-30
WearableTech,Enterprise Software,Kochi,Kerala,10000000.0,Series A,"Steadview Capital, Matrix Partners, Alibaba",2020-07-08
CloudStorage Pro,Fintech,Indore,Madhya Pradesh,10000000.0,Series C,"Alibaba, Google Ventures, 500 Startups",2015-08-30
PropertyFinder,Biotechnology,Chennai,Tamil Nadu,2456789821002.936,Angel,"Blume Ventures, 500 Startups",2021-03-21
FoodDelivery Express,Logistics,Chennai,Tamil Nadu,10000000.0,Debt Financing,"SAIF Partners, Nexus Venture Partners, DST Global",2018-09-26
EnergyEfficient,E-commerce,Nagpur,Maharashtra,10000000.0,Series B,"DST Global, 500 Startups, Blume Ventures",2022-12-18
OrganicFarms,Hardware,Kolkata,West Bengal,10000000.0,Series C,Kalaari Capital,2019-02-22
CRM Platform,Renewable Energy,Bhopal,Madhya Pradesh,10000000.0,Debt Financing,"Y Combinator, General Catalyst, Blume Ventures",2024-05-06
SocialConnect,Cybersecurity,Pune,Maharashtra,1089147077758.4283,Series D,"Sequoia Capital, Steadview Capital, Blume Ventures",2024-09-17
SmartCity Solutions,Fintech,Kolkata,West Bengal,10000000.0,Series E,"Elevation Capital, 500 Startups, Naspers",2017-08-11
ComputerVision Co,Fashion & Lifestyle,Chandigarh,Chandigarh,10000000.0,Series A,"SoftBank Vision Fund, 500 Startups",2018-07-11
MarketingAI,Marketing Tech,Kolkata,West Bengal,10000000.0,Seed,"Tiger Global, Amazon",2022-11-06
LoanSimple,Fashion & Lifestyle,Visakhapatnam,Andhra Pradesh,3830127759783.486,Private Equity,"Tiger Global, Techstars",2021-03-05
PetCare,Media & Entertainment,Chandigarh,Chandigarh,10000000.0,Series B,"Matrix Partners, 500 Startups",2021-01-12
BeautyBox,E-commerce,Lucknow,Uttar Pradesh,4935736437396.513,Series D,"General Catalyst, Matrix Partners",2017-04-15
RecruitmentAI,Mobile Apps,Nagpur,Maharashtra,10000000.0,Pre-Series A,Tiger Global,2023-07-12
FraudDetection AI,Renewable Energy,Lucknow,Uttar Pradesh,10000000.0,Pre-Series A,"Naspers, Chiratae Ventures, Steadview Capital",2021-02-22
AutoParts Direct,E-commerce,Coimbatore,Tamil Nadu,10000000.0,Private Equity,"Chiratae Ventures, Kalaari Capital, Y Combinator",2016-01-06
CryptoTrade India,Automotive,Bangalore,Karnataka,10000000.0,Angel,"Elevation Capital, Insight Partners, AngelList India",2016-11-03
AirQuality Monitor,Real Estate,Visakhapatnam,Andhra Pradesh,10000000.0,Pre-Series A,Matrix Partners,2016-04-08
AirQuality Monitor,IoT,Visakhapatnam,Andhra Pradesh,10000000.0,Growth Stage,"Falcon Edge, Elevation Capital",2019-11-19
FitTrack,AI/ML,Indore,Madhya Pradesh,10000000.0,Series E,"Chiratae Ventures, Amazon",2023-05-03
CryptoTrade India,Hardware,Visakhapatnam,Andhra Pradesh,10000000.0,Pre-Series A,"Blume Ventures, SAIF Partners, Chiratae Ventures",2024-09-18
RiskAnalysis Platform,Foodtech,Kolkata,West Bengal,296649149730.5021,Series E,"Alibaba, Chiratae Ventures, Sequoia Capital",2022-10-27
SocialConnect,Marketing Tech,Coimbatore,Tamil Nadu,10000000.0,Series D,"Tencent, Nexus Venture Partners, SoftBank Vision Fund",2015-01-11
WaterPurify,Fashion & Lifestyle,Ahmedabad,Gujarat,10000000.0,Bridge Round,"Tiger Global, Naspers",2016-04-17
ParkingFinder,Logistics,Kochi,Kerala,10000000.0,Series B,Y Combinator,2023-08-02
SmartCity Solutions,Hardware,Nagpur,Maharashtra,10000000.0,Growth Stage,"Kalaari Capital, Alpha Wave Incubation, Elevation Capital",2019-05-22
PetCare,Agritech,Indore,Madhya Pradesh,10000000.0,Bridge Round,DST Global,2016-06-19
HealthCare Plus,Consumer Services,Surat,Gujarat,10000000.0,Growth Stage,Chiratae Ventures,2024-05-22
AI Analytics,Logistics,Kochi,Kerala,21567581700208.46,Series C,"Chiratae Ventures, Steadview Capital",2019-08-02
WeddingBells,Logistics,Hyderabad,Telangana,3253679583787.8193,Debt Financing,Falcon Edge,2022-08-28
TranslationAI,Foodtech,Kochi,Kerala,5803087607101.864,Series C,Google Ventures,2018-06-01
GameZone,Edtech,Nagpur,Maharashtra,785307856291.429,Series B,"Lightspeed Venture Partners, SAIF Partners, Chiratae Ventures",2018-02-07
PrivacyGuard,,Visakhapatnam,Andhra Pradesh,10000000.0,Pre-Series A,"Sequoia Capital, AngelList India, Naspers",2017-12-24
BookMyService,Fashion & Lifestyle,Bhopal,Madhya Pradesh,10000000.0,Bridge Round,Nexus Venture Partners,2022-09-15
CloudServe,AI/ML,Jaipur,Rajasthan,10000000.0,Series D,"Naspers, Accel Partners, SAIF Partners",2022-11-12
ChatbotBuilder,Foodtech,Chennai,Tamil Nadu,10000000.0,Series A,AngelList India,2024-04-06
PetCare,AI/ML,Nagpur,Maharashtra,2792320172751.374,Series C,Nexus Venture Partners,2015-06-21
BeautyBox,CleanTech,Bhopal,Madhya Pradesh,10000000.0,Debt Financing,Tiger Global,2015-06-01
PayTech Solutions,Healthtech,Kochi,Kerala,10000000.0,Growth Stage,"Tiger Global, SAIF Partners, Naspers",2023-08-26
MusicStream,Foodtech,Ahmedabad,Gujarat,10000000.0,Series D,Naspers,2015-06-03
LoanSimple,Social Media,Visakhapatnam,Andhra Pradesh,10000000.0,Series B,"Kalaari Capital, Y Combinator, SoftBank Vision Fund",2023-11-22
PasswordManager,Gaming,Delhi,Delhi,10000000.0,Series B,Sequoia Capital,2015-09-22
OrganicFarms,Marketing Tech,Ahmedabad,Gujarat,10000000.0,Seed,Tencent,2018-07-19
ML Platform,IoT,Surat,Gujarat,10000000.0,Series D,Y Combinator,2024-02-19
WasteManagement Co,CleanTech,Coimbatore,Tamil Nadu,10716514149244.275,Series D,Accel Partners,2020-12-14
BiometricAuth,Media & Entertainment,Bhopal,Madhya Pradesh,10000000.0,Private Equity,"Y Combinator, Blume Ventures",2022-03-30
SolarPower Solutions,Renewable Energy,Indore,Madhya Pradesh,10000000.0,Series E,"Google Ventures, SAIF Partners, Naspers",2021-05-07
AI Analytics,Blockchain,Kochi,Kerala,402368645032144.75,Bridge Round,Matrix Partners,2015-11-04
MusicStream,Biotechnology,Jaipur,Rajasthan,815181710829.0728,Series B,"Naspers, Tiger Global, SoftBank Vision Fund",2021-09-20
AgriTech Innovations,E-commerce,Coimbatore,Tamil Nadu,10000000.0,Series A,"Techstars, Falcon Edge",2023-02-03
RecycleIt,SaaS,Chennai,Tamil Nadu,10533941458980.504,Series A,Lightspeed Venture Partners,2021-10-13
BookMyService,Healthtech,Gurgaon,Haryana,1674704157358.7502,Growth Stage,"Y Combinator, Techstars",2020-09-26
SocialConnect,Foodtech,Nagpur,Maharashtra,302766151448789.7,Series C,Steadview Capital,2022-10-25
AutoParts Direct,Cybersecurity,Chennai,Tamil Nadu,10000000.0,Seed,"Techstars, Kalaari Capital, Chiratae Ventures",2016-06-03
WeddingBells,Blockchain,Gurgaon,Haryana,10000000.0,Pre-Series A,Y Combinator,2015-11-29
LabTest Now,Blockchain,Kolkata,West Bengal,1445550482581.224,Series D,"Insight Partners, Nexus Venture Partners",2021-06-17
DataBackup Solutions,Cloud Services,Mumbai,Maharashtra,10000000.0,Series D,General Catalyst,2023-06-06
WearableTech,Social Media,Gurgaon,Haryana,10000000.0,Private Equity,Steadview Capital,2022-05-06
HealthCare Plus,Foodtech,Indore,Madhya Pradesh,10000000.0,Pre-Series A,Blume Ventures,2015-08-07
AutoParts Direct,Real Estate,Kochi,Kerala,10000000.0,Pre-Series A,Chiratae Ventures,2017-10-03
MediaHub,AI/ML,Noida,Uttar Pradesh,10000000.0,Series B,"Tencent, Techstars, SoftBank Vision Fund",2023-12-06
SportsFit,Blockchain,Chandigarh,Chandigarh,10000000.0,Debt Financing,Lightspeed Venture Partners,2024-02-12
NanoTech India,Mobile Apps,Coimbatore,Tamil Nadu,10000000.0,Series B,Sequoia Capital,2016-04-29
ML Platform,Marketing Tech,Chennai,Tamil Nadu,10000000.0,Seed,Tiger Global,2016-04-19
AdTech Solutions,CleanTech,Bangalore,Karnataka,10000000.0,Series B,"Steadview Capital, Chiratae Ventures",2021-01-25
ML Platform,Logistics,Gurgaon,Haryana,10000000.0,Debt Financing,"500 Startups, Techstars, Insight Partners",2023-10-14
NanoTech India,IoT,Kolkata,West Bengal,10000000.0,Series E,"AngelList India, Alpha Wave Incubation, Matrix Partners",2016-07-26
RideShare India,Consumer Services,Gurgaon,Haryana,10000000.0,Series C,Amazon,2024-01-05
EduLearn,Healthtech,Mumbai,Maharashtra,10000000.0,Seed,"Tiger Global, Insight Partners",2017-09-01
EventPlanner,Healthtech,Ahmedabad,Gujarat,10000000.0,Series E,Alibaba,2022-11-13
RoboticsTech,Enterprise Software,Gurgaon,Haryana,11671978507931.266,Debt Financing,"Accel Partners, Sequoia Capital",2020-10-06
BookMyService,Real Estate,Jaipur,Rajasthan,10000000.0,Private Equity,Naspers,2020-09-21
Insurance Plus,HR Tech,Visakhapatnam,Andhra Pradesh,7541161981928.073,Seed,Naspers,2024-08-06
AirQuality Monitor,Travel & Hospitality,Indore,Madhya Pradesh,10000000.0,Series C,"Steadview Capital, Matrix Partners",2020-04-12
NLP Solutions,Edtech,Pune,Maharashtra,10000000.0,Series E,"Amazon, Lightspeed Venture Partners",2019-10-14
EnergyEfficient,Fashion & Lifestyle,Bhopal,Madhya Pradesh,6308030830562.74,Pre-Series A,Matrix Partners,2021-05-31
DoctorConnect,HR Tech,Gurgaon,Haryana,3086110985473.9595,Series D,"Steadview Capital, Alibaba",2020-06-11
FitTrack,Automotive,Visakhapatnam,Andhra Pradesh,10000000.0,Private Equity,"Chiratae Ventures, 500 Startups, SoftBank Vision Fund",2024-08-04
InvestSmart,E-commerce,Nagpur,Maharashtra,10000000.0,Series C,Sequoia Capital,2021-05-24
TranslationAI,Cybersecurity,Indore,Madhya Pradesh,2399988132783.729,Series B,"Y Combinator, Tiger Global, Amazon",2020-05-31
JobPortal Pro,HR Tech,Kolkata,West Bengal,10000000.0,Bridge Round,"DST Global, Blume Ventures, Tiger Global",2017-03-10
WeddingBells,HR Tech,Mumbai,Maharashtra,10000000.0,Debt Financing,"Kalaari Capital, Google Ventures, Matrix Partners",2015-09-21
FurnitureWorld,Fashion & Lifestyle,Bangalore,Karnataka,10000000.0,Series B,"Alpha Wave Incubation, DST Global",2021-07-18
ElectroMart,HR Tech,Pune,Maharashtra,18284988079.670246,Series B,"Amazon, Steadview Capital, Google Ventures",2017-03-23
ChatbotBuilder,CleanTech,Gurgaon,Haryana,10000000.0,Seed,"SoftBank Vision Fund, SAIF Partners, Google Ventures",2015-09-07
SemiconductorHub,Fashion & Lifestyle,Visakhapatnam,Andhra Pradesh,10000000.0,Private Equity,Falcon Edge,2024-12-23
AutoParts Direct,Fintech,Chennai,Tamil Nadu,10000000.0,Series D,500 Startups,2023-04-13
FurnitureWorld,Fashion & Lifestyle,Nagpur,Maharashtra,10000000.0,Series E,"Matrix Partners, Blume Ventures, Tencent",2017-11-09
DeepLearning India,Social Media,Visakhapatnam,Andhra Pradesh,10000000.0,Series D,"Matrix Partners, Sequoia Capital",2018-07-30
FoodDelivery Express,Blockchain,Ahmedabad,Gujarat,9049075405160.963,Series A,"Techstars, General Catalyst",2024-05-13
Insurance Plus,Enterprise Software,Hyderabad,Telangana,10000000.0,Series A,Alpha Wave Incubation,2022-03-26
RecruitmentAI,SaaS,Indore,Madhya Pradesh,10000000.0,Seed,"Naspers, Alpha Wave Incubation, Steadview Capital",2020-09-24
WeddingBells,Fintech,Surat,Gujarat,10000000.0,Growth Stage,"Alibaba, Kalaari Capital, SoftBank Vision Fund",2016-06-01
ShopEasy,Foodtech,Coimbatore,Tamil Nadu,10000000.0,Growth Stage,"Techstars, AngelList India, Google Ventures",2015-05-21
EnergyEfficient,Consumer Services,Mumbai,Maharashtra,10000000.0,Series A,Naspers,2019-08-30
PropertyFinder,Real Estate,Noida,Uttar Pradesh,10000000.0,Seed,Elevation Capital,2024-11-17
MarketingAI,Foodtech,Lucknow,Uttar Pradesh,10000000.0,Seed,"Techstars, Sequoia Capital, SoftBank Vision Fund",2020-11-18
AntiPhishing Co,SaaS,Kochi,Kerala,65889936344605.6,Debt Financing,Alpha Wave Incubation,2020-09-17
EncryptionTech,Biotechnology,Hyderabad,Telangana,10000000.0,Series D,"Nexus Venture Partners, Naspers, Falcon Edge",2018-09-01
CryptoTrade India,Blockchain,Visakhapatnam,Andhra Pradesh,10000000.0,Series C,"Falcon Edge, 500 Startups, Sequoia Capital",2023-06-05
FraudDetection AI,HR Tech,Lucknow,Uttar Pradesh,10000000.0,Series C,Chiratae Ventures,2016-12-26
DoctorConnect,Logistics,Bangalore,Karnataka,68735907176.62808,Series C,"Elevation Capital, AngelList India, Naspers",2015-12-10
WasteManagement Co,Edtech,Lucknow,Uttar Pradesh,16988222024608.453,Series E,Sequoia Capital,2017-09-29
AutoParts Direct,Social Media,Indore,Madhya Pradesh,10000000.0,Pre-Series A,Lightspeed Venture Partners,2020-11-06
DoctorConnect,Real Estate,Indore,Madhya Pradesh,45749602433075.71,Series D,"Chiratae Ventures, Techstars, Y Combinator",2024-10-12
FinanceApp,Edtech,Indore,Madhya Pradesh,9873143582590.246,Private Equity,"Blume Ventures, AngelList India",2019-07-12
TravelBuddy,Hardware,Surat,Gujarat,4237729098708.122,Series C,Techstars,2017-01-02
FashionForward,Social Media,Gurgaon,Haryana,481078992366.4824,Angel,"Tiger Global, Y Combinator, SoftBank Vision Fund",2017-11-14
Metaverse India,Cloud Services,Indore,Madhya Pradesh,1394225887552.3506,Series E,Sequoia Capital,2023-10-05
NFT Marketplace,Blockchain,Visakhapatnam,Andhra Pradesh,10000000.0,Angel,Alibaba,2018-11-04
WaterPurify,Agritech,Gurgaon,Haryana,10000000.0,Private Equity,Blume Ventures,2024-04-08
DisplayTech,Fashion & Lifestyle,,Telangana,10000000.0,Angel,Google Ventures,2023-09-27
CodingBootcamp,Mobile Apps,Jaipur,Rajasthan,1272598122046.971,Series B,"Tencent, DST Global, Insight Partners",2020-07-20
CRM Platform,Gaming,Noida,Uttar Pradesh,10000000.0,Series A,Kalaari Capital,2016-06-21
RoboticsTech,Travel & Hospitality,Delhi,Delhi,10000000.0,Series C,DST Global,2023-07-17
AntiPhishing Co,IoT,Delhi,Delhi,10000000.0,Debt Financing,Lightspeed Venture Partners,2017-07-29
QuickGrocery,Mobile Apps,Mumbai,Maharashtra,10000000.0,Growth Stage,"SoftBank Vision Fund, DST Global, General Catalyst",2019-06-05
BatteryTech,IoT,Bangalore,Karnataka,3405992157285.179,Debt Financing,"DST Global, Blume Ventures",2023-04-19
TravelBuddy,Fintech,Mumbai,Maharashtra,10000000.0,Series C,"Accel Partners, Steadview Capital, SoftBank Vision Fund",2017-05-17
EduLearn,Real Estate,Visakhapatnam,Andhra Pradesh,10000000.0,Series C,Google Ventures,2024-09-01
InvestSmart,IoT,Lucknow,Uttar Pradesh,10000000.0,Private Equity,Accel Partners,2016-09-12
MusicStream,Logistics,Jaipur,Rajasthan,10000000.0,Growth Stage,"Alibaba, Steadview Capital",2018-02-28
DoctorConnect,SaaS,Indore,Madhya Pradesh,10000000.0,Series B,Sequoia Capital,2022-03-13
TravelBuddy,Marketing Tech,Kolkata,West Bengal,10000000.0,Bridge Round,"Tiger Global, AngelList India, Google Ventures",2021-04-24
AgriTech Innovations,Media & Entertainment,Ahmedabad,Gujarat,10000000.0,Growth Stage,"Lightspeed Venture Partners, Tencent",2019-08-09
